Nacionalidades  ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
República Dominicana  ,107  ,123  ,164  ,232  ,298  ,1103  ,1621  ,1927  ,2196  ,1678  ,1518  ,2026  ,1693  ,1511  ,1433  ,1117  ,1178  ,1196  ,1096  ,1124  
República Eslovaca  ,2  ,3  ,2  ,1  ,7  ,22  ,68  ,63  ,63  ,53  ,45  ,53  ,69  ,56  ,60  ,59  ,64  ,76  ,66  ,69  
Ruanda  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,3  ,3  ,1  ,0  ,1  ,1  ,3  ,2  ,2  ,1  ,0  ,3  ,2  
Rumanía  ,25  ,96  ,128  ,148  ,221  ,884  ,1497  ,2441  ,1457  ,1329  ,1501  ,1446  ,1014  ,970  ,1130  ,1074  ,917  ,1076  ,973  ,936  
Rusia  ,25  ,34  ,82  ,136  ,136  ,673  ,1024  ,1055  ,823  ,852  ,874  ,985  ,1008  ,1318  ,1448  ,1322  ,1279  ,1299  ,1347  ,1506  
San Cristóbal y Nieves  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,1  ,1  ,0  ,1  ,0  
San Marino  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  
San Vicente y las Granadinas  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,0  
Santa Lucía  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  
Santo Tomé y Príncipe  ,0  ,0  ,0  ,1  ,0  ,2  ,1  ,0  ,2  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,1  ,0  ,1  
Senegal  ,10  ,14  ,21  ,35  ,40  ,114  ,138  ,280  ,340  ,388  ,242  ,248  ,181  ,252  ,237  ,183  ,203  ,195  ,300  ,403  
Serbia  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,44  ,77  ,72  ,93  ,72  ,67  ,85  ,76  ,70  ,82  ,73  ,91  
Serbia y Montenegro    ,4  ,6  ,4  ,5  ,7  ,41  ,53  ,48  ,5  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Seychelles  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,1  ,0  ,1  ,1  ,0  ,1  ,1  
